,submarca,descricao_completa,descricao_ajustada,de_para
10,MAGNIFICA DO MARANHAO,"A Magnífica é uma cerveja saborosa, leve e refrescante, que foi criada para prestigiar as raízes do estado do Maranhão e brindar o orgulho de quem é nascido e criado na região. A marca tem como princípio fomentar o desenvolvimento da economia local do Maranhão com um modelo que desenvolve a cadeia produtiva, promove engajamento social e garante investimento local. A cerveja é feita a partir da mandioca plantada e colhida na região de Tabuleiro de São Bernardo, no interior do Estado. O ingrediente típico da região está presente na cerveja que é produzida e distribuída exclusivamente no estado. A mandioca traz à cerveja refrescância e sabor, combina perfeitamente com o clima quente do Maranhão. Tem altíssima qualidade e combina perfeitamente com os sabores da gastronomia popular maranhense.. Por ser uma cerveja leve e com boa carbonatação harmoniza bem com caranguejos, saladas, mix de castanhas.. água, malte, milho, mandioca, lúpulo. . 0-4 ºC. 8.0",Magnífica cervejar saboroso levar refrescante criar prestigiar raiz Maranhão brindar orgulhar nascer criar região marcar princípio fomentar desenvolvimento economia Maranhão modelar desenvolver cadeia produtivo promover engajamento social garantir investimento cervejar feito mandioca plantar colhido região Tabuleiro Bernardo interior ingrediente típico região presentar cervejar produzir distribuir exclusivamente mandioca trazer cervejar refrescância sabor combinar perfeitamente clima quentar Maranhão alto qualidade combinar perfeitamente sabor gastronomia popular maranhense cervejar levar carbonatação harmonizar caranguejo salada mix castanho água maltar milho mandioca lúpulo 0-4 ºC. 8.0,GINETTE FRUIT
11,MICHELOB ULTRA,"Michelob Ultra é uma cerveja de baixa caloria e baixo teor de carboidratos, extremamente refrescante. São 79 calorias e 2,4g de carboidratos (por long neck, cerca de 80% menos carboidratos em relação às principais marcas do mercado*): uma escolha equilibrada para quem sabe aproveitar bem o hoje e quer aproveitar ainda mais o amanhã.. Harmoniza com comidas leves e saladas.. malte, lúpulo, arroz. . 0-4 ºC. 3.0","Michelob Ultra cervejar baixo caloria teor carboidratos extremamente refrescante 79 caloria 2,4 carboidratos long neck cercar 80 carboidratos principal marcar mercar escolher equilibrar aproveitar hoje aproveitar amanhã Harmoniza comido leve salada maltar lúpulo arroz 0-4 ºC. 3.0",GINETTE BLONDE
12,MODELO,"Maltes tostados lentamente para um sabor por mais tempo. Uma cerveja especialmente preparada com todo o capricho e excelência. Modelo, aperfeiçoando há 90 anos a arte de tostar maltes.. Harmoniza com croquete de carne, mix de nuts e tacos. água, malte, lúpulo. cevada, glúten. 0-4 ºC. 13.0",Maltes tostar lentamente sabor cervejar especialmente preparar caprichar excelência Modelo aperfeiçoar haver 90 ano arte tostar malte Harmoniza croquete carnar mix nuts taco água maltar lúpulo cevar glúten 0-4 ºC. 13.0,
13,NOSSA,"Feita no Pernambuco para os pernabucanos, com mandioca do interior que traz leveza e refrescância para a cerveja.. Por ser uma cerveja leve vai bem com frutos do mar, peixes e amendoim.. água, malte, milho, mandioca, lúpulo. cevada, glúten. 0-4 ºC. 8.0",Feita Pernambuco pernabucanos mandioca interior trazer leveza refrescância cervejar cervejar levar fruto mar peixe amendoim água maltar milho mandioca lúpulo cevar glúten 0-4 ºC. 8.0,
14,ORIGINAL,"Mais que uma simples cerveja, é uma verdadeira preciosidade engarrafada. Reconhecida por preservar sua essência, tradição e qualidade, a marca Original, criada em 1931, é considerada um clássico entre os apreciadores da bebida. Cerveja do tipo Pilsen, tem sabor suave, com leve amargor e aroma de lúpulo. A alta carbonatação garante a refrescância, fazendo desta uma das cervejas favoritas dos brasileiros.. Tradicionalmente, nada melhor do que tomar uma Original com comida de boteco em casa. Se optar por frituras, a carbonatação vai limpar e refrescar o paladar.. água, malte, milho, lúpulo. . 0-4º C. 9.5",simples cervejar verdadeiro preciosidade engarrafar Reconhecida preservar essência tradição qualidade marcar Original criar 1931 considerar clássico apreciador bebido Cerveja Pilsen sabor suave levar amargor aromar lúpulo alto carbonatação garantir refrescância fazer cervejar favorito brasileiro Tradicionalmente melhor tomar Original comido boteco casar optar fritura carbonatação limpar refrescar paladar água maltar milho lúpulo 0-4º C. 9.5,
15,POLAR,"Produzida a partir de maltes e lúpulos selecionados, Polar Export tem cor clara, processo de baixa fermentação, com aroma, sabor e amargor suaves. É uma herança do Rio Grande do Sul, onde foi lançado em 1929, na cidade de Estrela. Em 1972 o controle da Cervejaria Polar foi adquirido pela Cia. Paulista Antarctica.. Por ser uma cerveja leve, não deve ser harmonizada com pratos de sabor muito forte. Combina com petiscos como queijos leves, castanhas, amendoins e também com frutos do mar como camarão, lula, mariscos e peixe.. água, malte, milho, lúpulo. cevada, glúten. 0-4 ºC. 9.5",Produzida malte lúpulo selecionados Polar Export cor claro processar baixo fermentação aromar sabor amargor suave herança Rio Sul lançar 1929 cidade Estrela 1972 controlo Cervejaria Polar adquirir Cia. Paulista Antarctica cervejar levar harmonizar prato sabor forte Combina petisco queijo leve castanho amendoim fruto mar camarão lula marisco peixe água maltar milho lúpulo cevar glúten 0-4 ºC. 9.5,
16,SERRAMALTE,"Serramalte é uma cerveja puro malte, de cor dourado escura, encorpada, com um sabor maltado bastante presente e um amargor pronunciado.. Encorpada e mais amarga, a Serramalte combina muito com queijo parmesão.. água, malte, lúpulo. cevada, glúten. 0-4 ºC. 19.5",Serramalte cervejar puro maltar cor dourar escuro encorpar sabor maltar presentar amargor pronunciar Encorpada amargo Serramalte combinar queijar parmesão água maltar lúpulo cevar glúten 0-4 ºC. 19.5,
17,SERRANA,"Nascida na Serra, refrescante e saborosa. Presente nos estados de São Paulo, Minas Gerais e Santa Catarina nas versões 350ml, 473ml e 600ml. Uma cerveja democrática feita de ingredientes naturais, pura e fresca como as águas da Serra.. Por ser uma cerveja leve, vai bem com queijo Minas, petiscos e peixes.. água, malte, milho, lúpulo. cevada, glúten. 0-4 ºC. 8.0",Nascida Serra refrescante saboroso Presente estar Paulo Minas Gerais Santa Catarina versão 350ml 473ml 600ml cervejar democrático feito ingrediente natural puro fresco água Serra cervejar levar queijar Minas petisco peixe água maltar milho lúpulo cevar glúten 0-4 ºC. 8.0,
18,SPATEN,"Spaten é a cerveja mais pura que respeita a mesma forma de fazer cerveja desde 1397. Segue a lei da pureza. Spaten é uma das principais puro malte do mundo. Nascida em Munich, desde 1397. Harmoniza com bolinho de peixe, salada caprese e. água, malte, lúpulo. cevada, glúten. 0-4° C. 16.0",Spaten cervejar puro respeitar mesmo cervejar 1397 Segue lei pureza Spaten principal puro maltar mundo Nascida Munich 1397 Harmoniza bolo peixe salada caprese e. água maltar lúpulo cevar glúten 0-4 C. 16.0,
19,TRES FIDALGAS,"Inspirada na herança cultural da cidade de São Paulo, a Cerveja Três Fidalgas é uma Pale Ale que homenageia as Vilas Ida, Madalena e Beatriz. No século XIX, havia a história de um nobre português que dividiu suas terras entre as três filhas, dando origem às vilas que foram batizadas conforme o nome de cada fidalga. Hoje, esta região une a convivência entre o clássico e o contemporâneo, sendo considerada como uma das áreas mais boêmias do Brasil. Produzida com três tipos de malte e três tipos de lúpulo, sua receita 100% malte e sem adição de outros cereais vai te impressionar por seu sabor suave com menos amargor, sua refrescância, personalidade e identidade única!. . água, malte, lúpulo. cevada, glúten. . ",Inspirada herança cultural cidade Paulo Cerveja Fidalgas Pale Ale homenagear Vilas Ida Madalena Beatriz século XIX haver história nobre português dividir terra filho dar origem vila batizadas conformar nome fidalgo Hoje região unir convivência clássico contemporâneo ser considerar área boêmias Brasil Produzida tipo maltar tipo lúpulo receitar 100 maltar adição cereal impressionar sabor suave amargor refrescância personalidade identidade único água maltar lúpulo cevar glúten,
20,ANTARCTICA CRISTAL,"Antarctica Cristal foi a primeira cerveja brasileira com garrafa transparente, destacando, assim, sua coloração clara, típica das Pale Lagers. A Cristal possui aroma acentuado, sabor encorpado e levemente amargo, mas não deixa a refrescância de lado — aspecto importante deste tipo de cerveja.. . água, malte, milho, lúpulo. . . ",Antarctica Cristal cervejar brasileiro garrafa transparentar destacar coloração claro típico Pale Lagers Cristal possuir aromar acentuar sabor encorpar levemente amargar deixar refrescância aspecto importante cervejar água maltar milho lúpulo,
21,ANTARCTICA PILSEN,"Como toda típica cerveja do tipo pilsen, ANTARCTICA é clara e tem baixa fermentação. Tem aroma, sabor e amargor suaves. É uma clássica cerveja pilsen que combina tradição e qualidade há mais de um século. Leve e Saborosa para celebrar as coisas boas da vida. Antarctica surgiu como uma fábrica de gelo e passou a produzir cerveja um ano depois, em 1889. É o complemento perfeito para momentos de prazer e para descontrair em boa companhia. Seu aroma levemente frutado e o balanço entre a acidez e o dulçor são bastante característicos.. Combina com petiscos como castanhas e amendoins, mas também aves e carne grelhada.. água, malte, milho, lúpulo. . 0-4 ºC. 9.0",típico cervejar pilsen ANTARCTICA claro baixo fermentação aromar sabor amargor suave clássico cervejar pilsen combinar tradição qualidade haver século Leve Saborosa celebrar coisa bom vidar Antarctica surgir fábrica gelar passar produzir cervejar ano 1889 complementar perfazer momento prazer descontrair companhia aromar levemente frutar balançar acidez dulçor característico Combina petisco castanho amendoim ave carnar grelhar água maltar milho lúpulo 0-4 ºC. 9.0,
22,ANTARCTICA SUBZERO,"De tipo pilsen, caracterizado pela cor dourada, a Antarctica Sub Zero possui baixa fermentação e espuma mais duradoura. Seu diferencial é uma combinação de um líquido elaborado que a torna mais suave e refrescante.. Combina com petiscos como castanhas e amendoins, mas também aves e carne grelhada.. água, malte, milho, lúpulo. . 0-4 ºC. 7.2",pilsen caracterizar cor dourar Antarctica Sub possuir baixo fermentação espumar duradouro diferencial combinação líquido elaborar tornar suave refrescante Combina petisco castanho amendoim ave carnar grelhar água maltar milho lúpulo 0-4 ºC. 7.2,
23,BOHEMIA 14 WEISS,"Uma cerveja de trigo, refrescante e leve como os voos do 14-Bis. Por se tratar de uma Weiss, apresenta uma inevitável turbidez proveniente da não filtração, que confere a esse estilo de cerveja uma aparência característica que deu origem ao termo Weissbier ou “cerveja branca”, em alemão.. . água, malte de trigo, malte de cevada, lúpulo, levedura. . . ",cervejar trigar refrescante levar voo 14-Bis tratar Weiss apresentar inevitável turbidez proveniente filtração conferir estilar cervejar aparência característico dar origem ter Weissbier cervejar branco alemão água maltar trigar maltar cevar lúpulo levedura,
24,BOHEMIA 838 PALE ALE,"A Bohemia 838 Pale Ale é uma cerveja de amargor mais acentuado. Com aromas intensos de lúpulo, passando por notas cítricas e frutadas até uma sutil nota de malte caramelo, a 838 Pale Ale foi eleita a melhor da categoria no Festival Brasileiro da Cerveja de 2016.. . água, malte, lúpulo. . . ",Bohemia 838 Pale Ale cervejar amargor acentuar aromar intenso lúpulo passar noto cítrico frutar sutil noto maltar caramelo 838 Pale Ale eleito melhor categoria Festival Brasileiro Cerveja 2016 água maltar lúpulo,
25,BOHEMIA AURA LAGER,"Uma cerveja com coloração âmbar, característica marcante das cervejas da família Vienna Lager, obtida a partir da torra do malte no ponto exato. Clássico estilo que tem a mesma essência acolhedora de Petrópolis e traz um suave aroma de lúpulo.. . água, malte, lúpulo. . . ",cervejar coloração âmbar característico marcante cervejar família Vienna Lager obtido torrar maltar exato Clássico estilar mesmo essência acolhedor Petrópolis trazer suave aromar lúpulo água maltar lúpulo,
26,BOHEMIA MAGNA PILS,. . . . . ,,
27,BOHEMIA PURO MALTE,"Criada em 1853 pelo alemao Henrique Kremer, Bohemia é a primeira cerveja do Brasil. Produzida com matéria prima importada desde sua primeira garrafa, ela é indispensavel no copo de quem entende de cerveja.. Aromas florais do lúpulo de Bohemia ajudam a condimentar pratos como embutidos e saladas. Assim um sabor não vai sobrepor o outro.. água, malte, lúpulo. . 0-4 ºC. 9.0",Criada 1853 alemao Henrique Kremer Bohemia cervejar Brasil Produzida matéria primo importar garrafa indispensavel copar entender cervejar Aromas florir lúpulo Bohemia ajudar condimentar prato embutir salada sabor sobrepor outro água maltar lúpulo 0-4 ºC. 9.0,
28,BRAHMA CHOPP PILSEN,"A referencia do sabor de cerveja no Brasil desde 1888, a Brahma Lager é uma cerveja saborosa e balanceada, com o sabor autêntico de cerveja brasileira, com espuma cremosa e persistente, amargor presente e ligeiramente encorpada.. Por ser uma cerveja leve e bem carbonatada, combina com queijos pouco condimentados, saladas, frutos do mar e petiscos fritos.. água, malte, milho, lúpulo. . 0-4 ºC. 10.0",referenciar sabor cervejar Brasil 1888 Brahma Lager cervejar saboroso balancear sabor autêntico cervejar brasileiro espumar cremoso persistente amargor presentar ligeiramente encorpar cervejar levar carbonatar combinar queijo condimentar salada fruto mar petisco frito água maltar milho lúpulo 0-4 ºC. 10.0,
29,BRAHMA DUPLO MALTE,"O malte Pilsner é o responsavel pela leveza, enquanto o malte Munich é o responsavel pelo sabor. O resultado disso é uma cerveja de cor dourada e espuma cremosa. Uma cerveja que tem mais sabor, mas ainda mantém a leveza.. Harmoniza com amendoim, croquete de carne e batata frita.. água, malte, lúpulo. . 0-4 ºC. 11.0",maltar Pilsner responsavel leveza maltar Munich responsavel sabor resultar cervejar cor dourar espumar cremoso cervejar sabor manter leveza Harmoniza amendoim croquete carnar batata frito água maltar lúpulo 0-4 ºC. 11.0,
30,BRAHMA EXTRA LAGER,"A referencia do sabor de cerveja no Brasil desde 1888, a Brahma Lager é uma cerveja saborosa e balanceada, com o sabor autêntico de cerveja brasileira, com espuma cremosa e persistente, amargor presente e ligeiramente encorpada.. Maltada e com amargor presente, ela harmoniza com frituras como pastelzinho e coxinha de frango.. água, malte, lúpulo. . 0-4 ºC. 13.0",referenciar sabor cervejar Brasil 1888 Brahma Lager cervejar saboroso balancear sabor autêntico cervejar brasileiro espumar cremoso persistente amargor presentar ligeiramente encorpar Maltada amargor presentar harmonizar fritura pastelzinho coxa frango água maltar lúpulo 0-4 ºC. 13.0,
31,BRAHMA EXTRA RED LAGER,"A Brahma Extra Red Lager é uma cerveja que leva o melhor do puro malte extra escuro Red Lager. O sabor inconfundível e a cor marcante a transformam na cerveja ideal para acompanhar massas e queijos.. . água, malte, lúpulo. . . ",Brahma Extra Red Lager cervejar levar melhor puro maltar extra escuro Red Lager sabor inconfundível cor marcante transformar cervejar ideal acompanhar massa queijo água maltar lúpulo,GINETTE LAGER
32,BRAHMA EXTRA WEISS,"Com seu corpo moderado e sua leve acidez, Brahma Extra Weiss; é uma cerveja de baixa fermentação, com aparência clara, dourada, límpida e brilhante. Seu aroma é maltado e possui um suave herbal além de notas levemente esterificadas, ou seja, onde predomina é o éster que lembra a banana. Essa combinação contrasta com o adocicado do puro malte e com o leve amargor do lúpulo.. Cerveja de trigo refrescante e leve, harmoniza muito bem com comidas leves como saladas, frutos do mar e banana caramelada, mas também fazem um belo par com comidas apimentadas.. água, malte de trigo, malte de cevada, milho, lúpulo. . 4-8 ºC. 14.0",corpo moderar levar acidez Brahma Extra Weiss cervejar baixo fermentação aparência claro dourar límpido brilhante aromar maltar possuir suave herbal noto levemente esterificar ser predominar éster lembrar banana combinação contrastar adocicar puro maltar levar amargor lúpulo Cerveja trigar refrescante levar harmonizar comido leve salada fruto mar banana caramelada belo par comido apimentar água maltar trigar maltar cevar milho lúpulo 4-8 ºC. 14.0,
33,BRAHMA MALZIBIER,"Para quem procura uma cerveja escura e encorpada com sabor diferenciado, Brahma Malzbier é ideal, pois tem um sabor levemente adocicado e aroma de caramelo. Além disso, é muito nutritiva, por ser rica em carboidratos. Brahma lançou a primeira cerveja tipo Malzbier no mercado.. As notas de malte torrados deixam essa cerveja excelente para harmonizar com sobremesas, como torta de chocolate e sorvete de creme.. água, malte, milho, açúcar de cana, lúpulo, corante caramelo iii ins 150c. . 8-12 ºC. 8.5",procurar cervejar escuro encorpar sabor diferenciar Brahma Malzbier ideal sabor levemente adocicar aromar caramelo nutritivo rico carboidratos Brahma lançar cervejar Malzbier mercar noto maltar torrar deixar cervejar excelente harmonizar sobremesa torto chocolate sorvete cremar água maltar milho açúcar cano lúpulo corante caramelo iii ins 150c 8-12 ºC. 8.5,
34,BRAHMA REFRESH,"Uma cerveja mais leve, ideal para locais de clima quente, a Brahma Refresh veio depois de um ano e meio de pesquisas em inovação. O resultado é um líquido com um gosto mais suave e refrescante. Por isso, a Brahma Refresh foi desenvolvida especialmente para os mercados do Norte e Nordeste do Brasil.. . água, malte, milho, lúpulo. . . ",cervejar levar ideal locar clima quentar Brahma Refresh vir ano pesquisar inovação resultar líquido gostar suave refrescante Brahma Refresh desenvolvido especialmente mercar Norte Nordeste Brasil água maltar milho lúpulo,
35,BRAHMA ZERO,"O mesmo sabor da Brahma, completamente sem álcool. Brahma 0,0 tem sabor predominante de malte e notas frutadas e de lúpulo. É leve, com sabor clássico de cervejas de baixa fermentação. De cor amarelo dourada, tem baixo amargor, aftertaste baixo e uma espuma cremosa consistente. A sensação é de estar bebendo uma cerveja com álcool.. Por ser uma cerveja leve e bem carbonatada, combina com queijos pouco condimentados, saladas, frutos do mar e petiscos fritos.. água, malte, milho, açúcar de cana, lúpulo. . 0-4 ºC. 8.5","sabor Brahma completamente álcool Brahma 0,0 sabor predominante maltar noto frutar lúpulo levar sabor clássico cervejar baixo fermentação cor amarelar dourar amargor aftertaste espumar cremoso consistente sensação beber cervejar álcool cervejar levar carbonatar combinar queijo condimentar salada fruto mar petisco frito água maltar milho açúcar cano lúpulo 0-4 ºC. 8.5",
36,CERVEJARIA COLORADOCOLORADO APPIA,"A palavra Appia vem do latim e significa mel. O nome perfeito para a primeira cerveja do Brasil a utilizar mel em sua fórmula. Uma combinação exótica que, além do mel das flores das laranjeiras, é feita a partir dos melhores maltes de cevada e trigo, além de nossa exclusiva levedura de alta fermentação. Doce, encorpada e refrescante, é perfeita para quem busca novos e diferentes sabores.. “Por ser uma cerveja leve, a Colorado Appia vai combinar muito bem comidas mais leves como pernil, saladas, frango, massas e queijo brie.. cerveja, água, mel, leveduras. . 4-8 ºC. 10.0",palavra Appia latim significar mel nome perfazer cervejar Brasil utilizar mel fórmula combinação exótico mel florir laranjeira feito melhorar malte cevar trigar exclusivo levedura alto fermentação Doce encorpar refrescante perfeito buscar diferente sabor cervejar levar Colorado Appia combinar comido leve pernil salada frango massa queijar brie cervejar água mel levedura 4-8 ºC. 10.0,
37,CERVEJARIA COLORADOCOLORADO BERTHO,"A Cerveja Colorado Berthô é uma American Brown Ale feita com Bertholletia Excelsa. Mas pode chamá-la simplesmente de Berthô, a cerveja que foi buscar na culinária mais diversificada do Brasil o seu ingrediente especial: a castanha-do-Pará. O tom adocicado do malte, combinado com o amargor dos lúpulos especiais e da castanha, criam um sabor único e inconfundível, assim como a cultura paraense.. . água, malte de cevada, aveia, açúcar mascavo, castanha do pará, lúpulo, fermento. . . ",Cerveja Colorado Berthô American Brown Ale feito Bertholletia Excelsa chamá-la simplesmente Berthô cervejar buscar culinário diversificar Brasil ingrediente especial castanha-do-Pará tom adocicar maltar combinar amargor lúpulo especial castanho criar sabor único inconfundível cultura paraense água maltar cevar aveia açúcar mascavar castanho parar lúpulo fermentar,
38,CERVEJARIA COLORADOCOLORADO CAUIM,"Seu nome Cauim vem do Tupi e se refere a uma antiga bebida fermentada de cereais e mandioca, fabricada pelos índios brasileiros. Não por acaso esta deliciosa cerveja combina fermento alemão, lúpulo tcheco, cevada maltada holandesa e, é claro, a brasileiríssima mandioca.. . água, malte, fécula de mandioca, lúpulo. . . ",nome Cauim Tupi referir antigo bebido fermentar cereal mandioca fabricar índio brasileiro acaso delicioso cervejar combinar fermentar alemão lúpulo tcheco cevar maltar holandês claro brasileiríssima mandioca água maltar fécula mandioca lúpulo,
